,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 37_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
0,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,29,2507,27.9,3,2,5,2,1,1,0,0,2.1,1.3,3.7,5.1,60,143,89,0.11,0.07,0.18,0.07,0.14,0.08,0.13,0.21,0.05,0.18,Matches
1,2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36,3240,36.0,0,1,1,0,0,0,7,0,0.6,0.6,3.9,4.5,92,78,151,0.00,0.03,0.03,0.00,0.03,0.02,0.11,0.12,0.02,0.12,Matches
2,3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,2520,28.0,3,0,3,3,0,0,0,0,1.7,1.7,1.2,2.9,21,96,6,0.11,0.00,0.11,0.11,0.11,0.06,0.04,0.10,0.06,0.10,Matches
3,4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,6,1,157,1.7,1,0,1,1,0,0,1,0,1.1,1.1,0.2,1.3,2,3,10,0.57,0.00,0.57,0.57,0.57,0.65,0.09,0.74,0.65,0.74,Matches
4,5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,20,1817,20.2,1,2,3,1,0,0,5,0,1.5,1.5,1.8,3.3,25,104,42,0.05,0.10,0.15,0.05,0.15,0.07,0.09,0.16,0.07,0.16,Matches
5,6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,6,623,6.9,0,0,0,0,0,0,2,0,0.3,0.3,1.2,1.5,12,10,33,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22,Matches
6,7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,19,1688,18.8,2,0,2,2,0,0,2,1,1.6,1.6,0.1,1.7,18,99,12,0.11,0.00,0.11,0.11,0.11,0.08,0.01,0.09,0.08,0.09,Matches
7,8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,25,2215,24.6,15,3,18,15,0,0,2,0,16.4,16.4,2.7,19.0,31,34,134,0.61,0.12,0.73,0.61,0.73,0.67,0.11,0.77,0.67,0.77,Matches
8,9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,8,663,7.4,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,8,27,13,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.08,0.07,0.08,Matches
9,10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,36,36,3162,35.1,2,2,4,2,0,0,4,0,2.4,2.4,1.7,4.2,57,150,36,0.06,0.06,0.11,0.06,0.11,0.07,0.05,0.12,0.07,0.12,Matches
