,Player,Squad,Pos,GCA90,SCA90
0,Max Aarons,Bournemouth,DF,0.0,2.09
1,Max Aarons,Valencia,"DF,MF",0.0,0.75
2,Rodrigo Abajas,Valencia,DF,0.0,0.0
3,James Abankwah,Udinese,"DF,MF",0.0,1.02
4,Keyliane Abdallah,Marseille,FW,0.0,0.0
5,Yunis Abdelhamid,Saint-Étienne,DF,0.0,0.55
6,Himad Abdelli,Angers,"MF,FW",0.16,2.98
7,Mohamed Abdelmoneim,Nice,DF,0.0,0.84
8,Ali Abdi,Nice,"DF,MF",0.19,2.91
9,Saud Abdulhamid,Roma,DF,0.44,2.65
10,Abel,Osasuna,DF,0.17,1.69
11,Nabil Aberdin,Getafe,MF,0.0,1.03
12,Oliver Abildgaard,Como,MF,0.0,0.0
13,Matthis Abline,Nantes,FW,0.29,1.98
14,Abner,Lyon,DF,0.08,2.06
15,Zakaria Aboukhlal,Toulouse,"MF,FW",0.33,1.61
16,Abdel Abqar,Alavés,DF,0.11,0.91
17,Tammy Abraham,Roma,FW,0.0,0.0
18,Tammy Abraham,Milan,FW,0.68,2.51
19,Federico Accornero,Genoa,MF,0.0,0.0
20,Francesco Acerbi,Inter,DF,0.05,1.05
21,Joshua Acheampong,Chelsea,DF,0.0,1.06
22,Akor Adams,Sevilla,FW,0.0,0.0
23,Akor Adams,Montpellier,FW,0.42,2.09
24,Che Adams,Torino,FW,0.17,2.14
25,Tyler Adams,Bournemouth,MF,0.18,1.88
26,Junior Adamu,Freiburg,FW,0.17,1.69
27,Tosin Adarabioyo,Chelsea,DF,0.06,0.96
28,Martin Adeline,Reims,MF,0.0,0.0
29,Karim Adeyemi,Dortmund,"FW,MF",0.69,3.58
30,Simon Adingra,Brighton,"FW,MF",0.57,3.86
31,Amine Adli,Leverkusen,"MF,FW",0.0,3.41
32,Yacine Adli,Fiorentina,MF,0.73,3.64
33,Adrián,Betis,GK,0.0,0.0
34,Adryelson,Lyon,DF,0.0,0.0
35,Vasilije Adžić,Juventus,"MF,FW",0.0,4.29
36,Michel Aebischer,Bologna,MF,0.0,2.23
37,Oladapo Afolayan,St. Pauli,"FW,MF",0.33,2.86
38,Emmanuel Agbadou,Wolves,DF,0.19,1.09
39,Emmanuel Agbadou,Reims,DF,0.07,1.5
40,Asher Agbinone,Crystal Palace,MF,0.0,15.0
41,Jeremy Agbonifo,Lens,"FW,MF",0.0,2.4
42,Julen Agirrezabala,Athletic Club,GK,0.0,0.22
43,Lucien Agoume,Sevilla,MF,0.21,2.55
44,Felix Agu,Werder Bremen,DF,0.05,1.8
45,Álvaro Aguado,Espanyol,MF,0.2,3.25
46,Lorenzo Aguado,Real Madrid,DF,0.0,0.0
47,Nayef Aguerd,Real Sociedad,DF,0.05,0.82
48,Ruben Aguilar,Lens,"DF,MF",0.4,2.08
49,Naouirou Ahamada,Rennes,"MF,FW",0.0,3.1
50,Honest Ahanor,Genoa,"DF,MF",0.0,1.67
51,Erik Ahlstrand,St. Pauli,"FW,MF",0.0,0.0
52,Jean-Eudes Aholou,Angers,MF,0.05,1.52
53,Joseph Aidoo,Valladolid,DF,0.0,0.15
54,Joseph Aidoo,Celta Vigo,DF,0.0,0.0
55,Ayman Aiki,Saint-Étienne,"FW,MF",0.0,0.71
56,Ola Aina,Nott'ham Forest,DF,0.12,1.86
57,Rayan Aït-Nouri,Wolves,DF,0.35,2.63
58,Junior Ajayi,Hellas Verona,FW,0.0,0.0
59,Kristoffer Ajer,Brentford,DF,0.13,1.13
60,Ludovic Ajorque,Brest,FW,0.29,2.17
61,Manuel Akanji,Manchester City,DF,0.13,1.65
62,Ümit Akdag,Toulouse,DF,0.0,0.9
63,Nathan Aké,Manchester City,DF,0.0,1.06
64,Ilias Akhomach,Villarreal,"MF,FW",0.15,4.38
65,Sergio Akieme,Reims,DF,0.11,1.32
66,Maghnes Akliouche,Monaco,"FW,MF",0.71,4.45
67,Paul Akouokou,Lyon,MF,0.0,0.0
68,Clément Akpa,Auxerre,DF,0.14,0.8
69,Jean-Daniel Akpa-Akpro,Monza,MF,0.09,1.12
70,David Akpan Ankeye,Genoa,"FW,MF",2.0,2.0
71,Kevin Akpoguma,Hoffenheim,DF,0.04,1.09
72,Chuba Akpom,Lille,FW,0.42,2.39
73,David Alaba,Real Madrid,DF,0.0,0.57
74,Ibrahim Alani,Valladolid,MF,0.0,0.0
75,Andreas Albers,St. Pauli,FW,0.0,2.95
76,Raúl Albiol,Villarreal,DF,0.23,0.38
77,Carlos Alcaraz,Southampton,MF,0.0,9.0
78,Carlos Alcaraz,Everton,"FW,MF",0.71,3.89
79,Omar Alderete,Getafe,DF,0.12,1.12
80,Carles Aleñá,Getafe,"MF,FW",0.0,1.6
81,Carles Aleñá,Alavés,"MF,FW",0.33,3.64
82,Ben Alexander Voll,St. Pauli,GK,0.0,0.99
83,Trent Alexander-Arnold,Liverpool,DF,0.38,3.73
84,Alfon,Celta Vigo,"FW,MF",0.46,3.87
85,Mohamed Ali Cho,Nice,"FW,MF",0.61,3.28
86,Faride Alidou,Hellas Verona,"FW,MF",0.0,2.54
87,Alisson,Liverpool,GK,0.04,0.25
88,Tadeo Allende,Celta Vigo,FW,0.0,0.0
89,Jim Allevinah,Angers,FW,0.36,2.0
90,Dele Alli,Como,MF,0.0,0.0
91,Thiago Almada,Lyon,"MF,FW",1.04,4.92
92,Domingos André Ribeiro Almeida,Valencia,"MF,FW",0.27,3.92
93,Iker Almena,Girona,"FW,DF",3.75,5.63
94,Miguel Almirón,Newcastle Utd,FW,0.0,4.59
95,Pontus Almqvist,Parma,"FW,MF",0.16,2.1
96,Marcos Alonso,Celta Vigo,DF,0.2,1.56
97,Giorgio Altare,Venezia,DF,0.0,0.6
98,Adrià Altimira,Leganés,"DF,FW",0.06,1.16
99,Sergi Altimira,Betis,MF,0.05,2.37
100,Olabade Aluko,Leicester City,DF,0.0,0.0
101,Edson Álvarez,West Ham,MF,0.1,1.42
102,Hugo Álvarez,Celta Vigo,"MF,DF",0.52,2.63
103,Julián Álvarez,Atlético Madrid,FW,0.54,3.87
104,Yeray Álvarez,Athletic Club,DF,0.1,0.91
105,Skelly Alvero,Werder Bremen,MF,0.0,0.76
106,Will Alves,Leicester City,FW,0.0,0.0
107,Selim Amallah,Valladolid,MF,0.07,2.09
108,Harry Amass,Manchester Utd,DF,0.0,2.08
109,Amath,Valladolid,"FW,DF",0.24,3.11
110,Jordan Amavi,Brest,DF,0.11,1.59
111,Aurele Amenda,Eint Frankfurt,DF,0.0,1.86
112,Kelvin Amian,Nantes,DF,0.04,1.58
113,Michael Amir Murillo,Marseille,DF,0.22,1.74
114,Nadiem Amiri,Mainz 05,MF,0.55,4.33
115,Samuel Amo-Ameyaw,Southampton,"FW,DF",0.0,6.43
116,Samuel Amo-Ameyaw,Strasbourg,"DF,MF",0.28,3.93
117,Mathis Amougou,Chelsea,MF,0.0,0.0
118,Mathis Amougou,Saint-Étienne,MF,0.0,1.78
119,Mohamed Amoura,Wolfsburg,FW,0.47,2.92
120,Sofyan Amrabat,Fiorentina,MF,0.0,2.0
121,Joachim Andersen,Crystal Palace,DF,0.0,1.0
122,Joachim Andersen,Fulham,DF,0.07,1.23
123,Elliot Anderson,Nott'ham Forest,MF,0.33,2.87
124,André,Wolves,MF,0.11,1.78
125,Benjamin André,Lille,MF,0.3,1.77
126,Marcos André,Valladolid,FW,0.08,1.44
127,Robert Andrich,Leverkusen,"MF,DF",0.23,1.86
128,Angeliño,Roma,DF,0.2,2.52
129,Lorenzo Anghelè,Juventus,FW,0.0,0.0
130,Faustino Anjorin,Empoli,MF,0.4,2.59
131,Waldemar Anton,Dortmund,DF,0.23,1.9
132,Leandro Antonetti,Sevilla,FW,0.0,0.0
133,Kyllian Antonio,Lens,"DF,MF",0.0,0.65
134,Michail Antonio,West Ham,FW,0.43,2.37
135,Antoniu,Espanyol,"FW,MF",0.09,2.11
136,Antony,Manchester Utd,"DF,MF",0.0,5.11
137,Antony,Betis,FW,0.6,5.09
138,Anuar,Valladolid,"MF,FW",0.21,1.31
139,Dennis Appiah,Saint-Étienne,DF,0.13,1.61
140,Aritz Arambarri,Leganés,DF,0.0,0.51
141,Mauro Arambarri,Getafe,MF,0.1,1.83
142,Jon Aramburu,Real Sociedad,DF,0.07,1.21
143,Julian Araujo,Bournemouth,DF,0.0,0.91
144,Ronald Araújo,Barcelona,DF,0.24,1.43
145,Cameron Archer,Southampton,FW,0.0,1.25
146,Carlens Arcus,Angers,DF,0.13,1.63
147,Alphonse Areola,West Ham,GK,0.0,0.12
148,Adu Ares,Athletic Club,FW,0.0,4.74
149,Jesús Areso,Osasuna,DF,0.26,2.13
150,David Argüelles,Getafe,MF,0.0,0.0
151,Joe Aribo,Southampton,"MF,DF",0.04,1.66
152,Adam Armstrong,Southampton,"FW,MF",0.29,1.37
153,Harrison Armstrong,Everton,MF,0.0,1.87
154,José Arnaiz,Osasuna,"FW,MF",0.0,6.04
155,Hákon Arnar Haraldsson,Lille,"MF,FW",0.36,3.59
156,Marko Arnautović,Inter,FW,0.33,2.46
157,Maximilian Arnold,Wolfsburg,MF,0.38,3.17
158,Jann-Fiete Arp,Holstein Kiel,"FW,MF",0.38,4.17
159,Sergio Arribas,Betis,DF,0.0,0.0
160,Kepa Arrizabalaga,Bournemouth,GK,0.0,0.13
161,Arthur,Leverkusen,DF,0.12,0.84
162,Takuma Asano,Mallorca,"FW,MF",0.17,1.88
163,Raúl Asencio,Real Madrid,DF,0.05,0.65
164,Marco Asensio,Aston Villa,MF,0.36,4.24
165,Marco Asensio,Paris S-G,"FW,MF",1.02,5.39
166,Kristjan Asllani,Inter,MF,0.27,2.82
167,Iago Aspas,Celta Vigo,"FW,MF",0.67,3.82
168,Yaser Asprilla,Girona,"FW,MF",0.45,3.91
169,Lorenz Assignon,Rennes,"DF,MF",0.38,2.56
170,Dehmaine Assoumani,Nantes,"MF,FW",0.0,6.36
171,Valentin Atangana Edoa,Reims,MF,0.03,1.55
172,Arthur Atta,Udinese,"MF,FW",0.14,3.31
173,Noah Atubolu,Freiburg,GK,0.0,0.23
174,Emil Audero,Como,GK,0.0,0.0
175,Tommaso Augello,Cagliari,DF,0.36,2.42
176,Carlos Augusto,Inter,DF,0.16,1.28
177,Yann Aurel Bisseck,Inter,DF,0.22,1.1
178,Brandon Austin,Tottenham,GK,0.0,0.0
179,Ezequiel Ávila,Betis,FW,0.4,4.12
180,Taiwo Awoniyi,Nott'ham Forest,FW,0.22,1.95
181,Yasin Ayari,Brighton,MF,0.27,2.79
182,Florian Ayé,Auxerre,FW,0.31,0.78
183,André Ayew,Le Havre,FW,0.06,1.24
184,Jordan Ayew,Crystal Palace,"FW,MF",0.0,4.29
185,Jordan Ayew,Leicester City,"FW,MF",0.11,2.25
186,Neil El Aynaoui,Lens,MF,0.11,2.38
187,Ayman Azhil,Dortmund,MF,0.0,0.0
188,Adam Aznou,Valladolid,DF,0.0,1.64
189,Adam Aznou,Bayern Munich,DF,0.0,0.0
190,César Azpilicueta,Atlético Madrid,DF,0.1,0.82
191,Paulo Azzi,Cagliari,DF,0.0,3.17
192,Oussama El Azzouzi,Bologna,MF,0.0,9.47
193,Papa Ba,Girona,MF,0.0,3.75
194,Shavy Babicka,Toulouse,"MF,FW",0.38,2.2
195,Jacopo Bacci,Empoli,MF,0.0,0.0
196,Aliou Badara Baldé,Bochum,"MF,FW",0.0,2.93
197,Loïc Bade,Sevilla,DF,0.07,0.77
198,Milan Badelj,Genoa,MF,0.06,1.59
199,Benoît Badiashile,Chelsea,DF,0.0,0.0
200,Alex Baena,Villarreal,"MF,FW",0.73,5.86
201,Juma Bah,Valladolid,DF,0.0,0.21
202,Juma Bah,Lens,DF,0.0,0.92
203,Leon Bailey,Aston Villa,"FW,MF",0.32,3.01
204,Eric Bailly,Villarreal,DF,0.0,0.29
205,Theo Bair,Auxerre,FW,0.19,1.63
206,Stefan Bajcetic,Las Palmas,"MF,DF",0.09,1.3
207,Cédric Bakambu,Betis,FW,0.38,1.39
208,Mitchel Bakker,Atalanta,MF,0.0,0.0
209,Mitchel Bakker,Lille,"FW,DF",0.31,3.13
210,Darryl Bakola,Marseille,"DF,MF",0.0,0.0
211,Ridle Baku,Wolfsburg,"FW,MF",0.31,2.38
212,Ridle Baku,RB Leipzig,"DF,MF",0.42,2.12
213,Dilane Bakwa,Strasbourg,"MF,DF",0.58,3.97
214,Tommaso Baldanzi,Roma,"MF,FW",0.43,3.89
215,Alejandro Balde,Barcelona,DF,0.47,2.99
216,Keita Baldé,Monza,FW,0.0,2.97
217,Carlos Baleba,Brighton,MF,0.14,2.23
218,Leonardo Balerdi,Marseille,DF,0.12,1.07
219,Iván Balliu,Rayo Vallecano,DF,0.08,1.43
220,Fodé Ballo-Touré,Le Havre,"DF,MF",0.15,0.61
221,Botond Balogh,Parma,DF,0.09,0.35
222,Folarin Balogun,Monaco,FW,0.29,2.78
223,Mario Balotelli,Genoa,"FW,MF",0.0,0.0
224,Abdoulaye Bamba,Angers,DF,0.0,0.6
225,Jonathan Bamba,Celta Vigo,"FW,MF",0.44,3.11
226,Mohamed Bamba,Reims,MF,0.0,0.0
227,Samuel Bamba,Bochum,"FW,MF",0.0,6.67
228,Lameck Banda,Lecce,"FW,MF",0.15,3.39
229,Daniel Bandeira,Hellas Verona,MF,0.0,1.33
230,Mattia Bani,Genoa,DF,0.12,0.42
231,Noahkai Banks,Augsburg,DF,0.0,0.32
232,Scott Banks,St. Pauli,"FW,MF",0.78,2.35
233,Adrian Baquerin,Valladolid,FW,0.0,1.87
234,Antonín Barák,Fiorentina,MF,0.0,5.0
235,Federico Barba,Como,DF,0.0,0.63
236,Valentín Barco,Sevilla,"DF,FW",0.0,3.12
237,Valentín Barco,Strasbourg,"MF,DF",0.47,1.56
238,Bradley Barcola,Paris S-G,FW,0.83,4.17
239,Melvin Bard,Nice,"DF,MF",0.19,2.28
240,Nicolò Barella,Inter,MF,0.54,4.07
241,Gabriel Bares,Montpellier,"MF,DF",0.0,0.0
242,Borna Barišić,Leganés,DF,0.0,0.0
243,Téo Barisic,Lyon,DF,0.0,0.0
244,Kike Barja,Osasuna,"FW,MF",0.57,5.14
245,Ross Barkley,Aston Villa,MF,0.46,2.78
246,Aymen Barkok,Mainz 05,MF,0.0,2.47
247,Harvey Barnes,Newcastle Utd,FW,0.46,3.27
248,Enzo Barrenechea,Valencia,MF,0.33,1.81
249,Ander Barrenetxea,Real Sociedad,"MF,FW",0.43,2.99
250,Pablo Barrios,Atlético Madrid,MF,0.43,2.55
251,Thierno Barry,Villarreal,FW,0.23,1.78
252,Davide Bartesaghi,Milan,DF,0.0,1.53
253,Marc Bartra,Betis,DF,0.13,0.56
254,Federico Baschirotto,Lecce,DF,0.03,0.45
255,Daniele Baselli,Como,MF,0.0,0.0
256,Calvin Bassey,Fulham,DF,0.09,0.67
257,Aboubacar Bassinga,Las Palmas,MF,0.0,0.0
258,Alessandro Bastoni,Inter,DF,0.41,2.66
259,Augusto Batalla,Rayo Vallecano,GK,0.0,0.22
260,Michy Batshuayi,Eint Frankfurt,FW,0.0,1.2
261,Dylan Batubinsika,Saint-Étienne,DF,0.0,0.4
262,Maximilian Bauer,Augsburg,DF,0.0,0.55
263,Oliver Baumann,Hoffenheim,GK,0.07,0.36
264,Christoph Baumgartner,RB Leipzig,MF,0.34,2.35
265,Rafael Bauza,Espanyol,MF,0.0,0.49
266,Altay Bayındır,Manchester Utd,GK,0.0,0.0
267,Ihlas Bebou,Hoffenheim,MF,0.0,0.0
268,Adrian Beck,Heidenheim,"MF,FW",0.23,3.16
