Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,1.3,85,1,21,28,36,0,85,4,1,25.0,2,50.0,46,215,103,0,3,0,3,1,49,10,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,1.0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,11.5,641,127,414,215,14,7,641,7,3,42.9,4,57.1,322,1732,837,4,1,0,8,3,393,3,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,31.6,1993,38,293,1149,597,49,1989,121,57,47.1,61,50.4,1183,7595,4388,107,90,17,55,51,1446,111,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,9.5,635,70,260,331,46,3,635,4,1,25.0,2,50.0,342,1427,822,6,4,0,4,3,386,5,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,15.5,886,51,230,349,315,50,886,29,12,41.4,16,55.2,391,1880,1003,35,15,9,32,14,481,101,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,2.3,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,23,2000,23.0,1322,65,370,605,357,19,1322,35,18,51.4,13,37.1,605,3269,1792,50,44,7,27,18,683,92,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,878,34,75,382,438,142,877,86,35,40.7,48,55.8,587,3670,1743,75,42,42,92,65,689,169,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,12.1,791,40,207,361,225,22,791,12,6,50.0,6,50.0,426,1926,1239,31,16,5,14,8,513,55,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,613,6,59,196,363,113,611,53,16,30.2,35,66.0,375,1923,880,34,24,19,64,26,450,164,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,27.4,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0.0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,13.1,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,0.1,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,19.0,1484,139,648,733,108,20,1484,4,3,75.0,1,25.0,915,4177,2128,19,20,1,7,2,1101,22,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,1.5,34,1,4,18,12,1,34,1,1,100.0,0,0.0,5,18,0,0,0,0,2,0,20,5,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,11.9,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,29.5,802,19,53,387,371,104,801,37,11,29.7,22,59.5,509,2066,702,23,18,9,63,34,630,153,Matches
