Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,20,1777,19.7,0,1,1,0,0,0,2,0,1.4,1.4,0.7,2.1,38,103,87,0.00,0.05,0.05,0.00,0.05,0.07,0.04,0.11,0.07,0.11,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,33,2889,32.1,3,0,3,3,0,0,4,1,1.9,1.9,0.3,2.2,18,99,3,0.09,0.00,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07,Matches
4,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,15,1320,14.7,0,0,0,0,0,0,5,0,1.0,1.0,0.8,1.8,32,65,16,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,32,2963,32.9,3,1,4,3,0,0,5,0,1.5,1.5,1.7,3.3,32,138,35,0.09,0.03,0.12,0.09,0.12,0.05,0.05,0.10,0.05,0.10,Matches
7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,24,9,912,10.1,3,2,5,3,0,0,1,0,2.1,2.1,0.3,2.4,13,21,48,0.30,0.20,0.49,0.30,0.49,0.21,0.03,0.24,0.21,0.24,Matches
8,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,14,1260,14.0,0,0,0,0,0,0,1,0,1.4,1.4,0.1,1.5,2,31,1,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,Matches
10,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,14,14,1222,13.6,1,0,1,1,0,0,5,1,0.6,0.6,0.4,1.0,12,55,21,0.07,0.00,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07,Matches
11,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,22,12,1040,11.6,6,1,7,6,0,0,0,0,5.9,5.9,0.7,6.6,12,11,66,0.52,0.09,0.61,0.52,0.61,0.51,0.06,0.57,0.51,0.57,Matches
12,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,14,2,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,15,28,19,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.07,0.06,0.07,Matches
14,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,32,32,2813,31.3,0,1,1,0,0,0,9,1,1.1,1.1,1.0,2.1,41,141,46,0.00,0.03,0.03,0.00,0.03,0.03,0.03,0.07,0.03,0.07,Matches
15,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,7,0,100,1.1,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,3,3,12,0.90,0.00,0.90,0.90,0.90,0.13,0.00,0.13,0.13,0.13,Matches
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,26,2330,25.9,1,2,3,1,0,0,5,0,1.0,1.0,2.6,3.6,65,114,133,0.04,0.08,0.12,0.04,0.12,0.04,0.10,0.14,0.04,0.14,Matches
17,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,36,30,2667,29.6,9,5,14,9,0,0,1,0,9.8,9.8,5.0,14.8,32,57,149,0.30,0.17,0.47,0.30,0.47,0.33,0.17,0.50,0.33,0.50,Matches
18,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,27,21,1850,20.6,1,1,2,1,0,0,3,0,1.3,1.3,0.9,2.2,27,113,70,0.05,0.05,0.10,0.05,0.10,0.07,0.04,0.11,0.07,0.11,Matches
19,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,18,3,479,5.3,2,3,5,2,0,0,2,0,2.1,2.1,2.3,4.5,20,17,58,0.38,0.56,0.94,0.38,0.94,0.40,0.44,0.84,0.40,0.84,Matches
20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,33,33,2953,32.8,0,0,0,0,0,0,1,0,1.1,1.1,0.3,1.4,5,75,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,0,4,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.85,0.85,0.85,Matches
22,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,35,25,2418,26.9,2,5,7,2,0,0,6,0,1.9,1.9,4.4,6.3,54,188,48,0.07,0.19,0.26,0.07,0.26,0.07,0.16,0.23,0.07,0.23,Matches
23,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,26,16,1558,17.3,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.9,11,39,36,0.00,0.06,0.06,0.00,0.06,0.01,0.04,0.05,0.01,0.05,Matches
26,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,12,9,800,8.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,6,46,7,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
27,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,20,1999,15,8,701,7.8,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,7,9,33,0.13,0.00,0.13,0.13,0.13,0.08,0.06,0.14,0.08,0.14,Matches
28,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,29,14,1356,15.1,1,2,3,1,0,0,4,0,1.5,1.5,1.3,2.8,50,43,82,0.07,0.13,0.20,0.07,0.20,0.10,0.09,0.19,0.10,0.19,Matches
29,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,35,3147,35.0,3,1,4,3,0,0,6,0,3.2,3.2,0.7,4.0,14,136,2,0.09,0.03,0.11,0.09,0.11,0.09,0.02,0.11,0.09,0.11,Matches
30,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,12,7,559,6.2,4,1,5,3,1,2,0,0,3.5,1.9,1.2,3.1,12,12,39,0.64,0.16,0.81,0.48,0.64,0.56,0.19,0.75,0.31,0.50,Matches
31,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,33,27,2225,24.7,1,3,4,1,0,0,6,0,0.9,0.9,4.7,5.6,74,101,231,0.04,0.12,0.16,0.04,0.16,0.03,0.19,0.23,0.03,0.23,Matches
32,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,6,3,252,2.8,0,0,0,0,0,0,2,1,0.2,0.2,0.0,0.3,8,11,3,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches
33,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,20,10,899,10.0,2,0,2,2,0,0,0,0,1.4,1.4,0.2,1.5,31,25,17,0.20,0.00,0.20,0.20,0.20,0.14,0.02,0.16,0.14,0.16,Matches
