Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_90,PassDead_90,TO_90,Sh_90,Fld_90,Def_90,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,46,1.90,24,12,6,2,1,1,4,0.16,2,0,2,0,0,0,Matches
2,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,eng Premier League,21,1995,1.5,1,0.65,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,it Serie A,21,1995,5.7,5,0.87,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,27,2.30,24,1,0,2,0,0,4,0.34,3,0,0,1,0,0,Matches
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,2,2.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,19,1.46,13,1,1,3,0,1,1,0.08,1,0,0,0,0,0,Matches
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,20,0.78,17,2,0,1,0,0,2,0.08,2,0,0,0,0,0,Matches
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,42,2.19,19,0,11,5,5,2,2,0.10,1,0,0,1,0,0,Matches
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,14,1.48,10,0,0,1,3,0,2,0.21,2,0,0,0,0,0,Matches
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,30,0.79,28,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,17,1.63,13,0,1,1,2,0,0,0.00,0,0,0,0,0,0,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,17,3.72,7,2,3,1,4,0,1,0.22,1,0,0,0,0,0,Matches
14,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30.0,5,0.17,4,1,0,0,0,0,2,0.07,1,1,0,0,0,0,Matches
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,20.4,56,2.75,41,7,0,5,3,0,3,0.15,3,0,0,0,0,0,Matches
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,15,0.46,9,4,0,1,1,0,1,0.03,0,0,0,1,0,0,Matches
17,Claud Adjapong,it ITA,"DF,FW",Sassuolo,it Serie A,19,1998,13.6,25,1.84,17,0,1,2,3,2,2,0.15,1,0,0,0,1,0,Matches
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,5,0.36,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,it Serie A,23,1993,18.6,38,2.05,31,5,1,0,1,0,4,0.22,3,0,0,0,1,0,Matches
21,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,2,0.11,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0,Matches
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,35,1.46,19,0,2,6,7,1,2,0.08,2,0,0,0,0,0,Matches
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,24,1993,6.8,11,1.84,6,0,1,2,2,0,1,0.17,0,0,0,0,1,0,Matches
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,25,1.23,20,5,0,0,0,0,5,0.25,5,0,0,0,0,0,Matches
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,2,0.78,0,0,0,1,1,0,2,0.78,0,0,0,1,1,0,Matches
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,80,3.67,57,0,14,5,3,1,12,0.55,8,0,3,0,0,1,Matches
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,27.3,72,2.64,55,5,5,2,5,0,7,0.26,6,0,0,1,0,0,Matches
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,19,1.48,16,0,1,2,0,0,2,0.16,1,0,0,1,0,0,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,42,1.26,31,0,1,6,3,1,6,0.18,3,0,0,1,2,0,Matches
31,Ailton,br BRA,"DF,MF",Stuttgart,de Bundesliga,22,1995,1.2,2,1.65,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Youssef Aït Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,22.7,53,2.33,41,1,7,0,4,0,1,0.04,1,0,0,0,0,0,Matches
33,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23,1993,14.1,14,0.99,9,0,0,1,1,3,2,0.14,1,0,0,1,0,0,Matches
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10.0,7,0.70,5,0,1,0,0,1,1,0.10,1,0,0,0,0,0,Matches
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,20,0.54,17,0,3,0,0,0,5,0.13,5,0,0,0,0,0,Matches
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,0.4,3,7.30,3,0,0,0,0,0,1,2.43,1,0,0,0,0,0,Matches
37,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,22,1995,12.2,37,3.02,25,1,5,4,1,1,4,0.33,0,0,3,1,0,0,Matches
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,15,0.80,15,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,53,3.07,44,4,1,3,0,1,4,0.23,4,0,0,0,0,0,Matches
40,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,40,2.33,27,0,7,1,4,1,7,0.41,4,0,2,0,1,0,Matches
41,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,64,2.10,61,1,1,1,0,0,11,0.36,10,0,0,1,0,0,Matches
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,6,0.31,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
44,Luis Alberto,es ESP,"FW,MF",Lazio,it Serie A,24,1992,29.7,183,6.18,112,50,12,7,2,0,25,0.84,13,8,3,0,1,0,Matches
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,24,0.79,23,0,0,1,0,0,3,0.10,2,0,0,1,0,0,Matches
46,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,26,1990,7.8,20,2.56,15,1,1,1,1,1,3,0.38,3,0,0,0,0,0,Matches
47,Marc Albrighton,eng ENG,"MF,FW",Leicester City,eng Premier League,27,1989,28.2,79,2.80,51,15,9,1,3,0,11,0.39,10,1,0,0,0,0,Matches
48,Paco Alcácer,es ESP,"MF,FW",Barcelona,es La Liga,23,1993,7.7,15,1.94,11,0,0,2,1,1,5,0.65,2,0,0,1,1,1,Matches
